Tiempo (s),Fuerza (N),Posición (m),Vector velocidad (m/s),Aceleración (m/s²)
4.980,-1.8,,,
5.000,-2.1,0.327,-0.31,-2.6
5.020,-2.5,,,
5.040,-3.2,,,
5.050,,0.311,-0.32,0.8
5.060,-3.9,,,
5.080,-4.7,,,
5.100,-5.3,0.295,-0.23,3.0
5.120,-5.8,,,
5.140,-6.2,,,
5.150,,0.287,-0.02,4.3
5.160,-6.2,,,
5.180,-6.0,,,
5.200,-5.5,0.293,0.20,3.3
5.220,-4.9,,,
5.240,-4.3,,,
5.250,,0.307,0.31,0.1
5.260,-3.5,,,
5.280,-2.9,,,
5.300,-2.3,0.325,0.21,-2.9
5.320,-1.8,,,
5.340,-1.6,,,
5.350,,0.328,0.03,-4.2
5.360,-1.5,,,
5.380,-1.7,,,
5.400,-2.1,0.327,-0.21,-3.8
5.420,-2.8,,,
5.440,-3.5,,,
5.450,,0.307,-0.35,0.1
5.460,-4.2,,,
5.480,-5.0,,,
5.500,-5.6,0.292,-0.20,3.8
5.520,-6.0,,,
5.540,-6.2,,,
5.550,,0.287,0.03,4.4
5.560,-6.1,,,
5.580,-5.8,,,
5.600,-5.2,0.295,0.24,2.7
5.620,-4.6,,,
5.640,-3.9,,,
5.650,,0.311,0.30,-0.7
5.660,-3.1,,,
5.680,-2.5,,,
5.700,-2.0,0.325,0.17,-3.5
5.720,-1.6,,,
5.740,-1.6,,,
5.750,,0.328,-0.05,-4.1
5.760,-1.7,,,
5.780,-2.0,,,
5.800,-2.5,0.320,-0.24,-2.3
5.820,-3.2,,,
5.840,-4.0,,,
5.850,,0.304,-0.28,1.3
5.860,-4.7,,,
5.880,-5.4,,,
5.900,-6.0,0.291,-0.11,4.0
5.920,-6.2,,,
5.940,-6.2,,,
5.950,,0.292,0.11,3.5
5.960,-6.0,,,
5.980,-5.5,,,
6.000,-4.9,0.303,0.24,1.3
6.020,-4.2,,,
6.040,-3.4,,,
6.050,,0.316,0.24,-1.2
6.060,-2.7,,,
6.080,-2.1,,,
6.100,-1.7,0.327,0.11,-3.6
6.120,-1.5,,,
6.140,-1.6,,,
6.150,,0.327,-0.12,-3.9
6.160,-1.9,,,
6.180,-2.4,,,
6.200,-3.0,0.315,-0.28,-1.6
6.220,-3.8,,,
6.240,-4.5,,,
6.250,,0.299,-0.27,1.9
6.260,-5.2,,,
6.280,-5.7,,,
6.300,-6.1,0.288,-0.09,4.2
6.320,-6.2,,,
6.340,-6.1,,,
6.350,,0.290,0.14,3.8
6.360,-5.7,,,
6.380,-5.1,,,
6.400,-4.5,0.303,0.29,1.1
6.420,-3.7,,,
6.440,-2.9,,,
6.450,,0.319,0.25,-2.3
6.460,-2.3,,,
6.480,-1.8,,,
6.500,-1.6,0.328,0.06,-4.2
6.520,-1.6,,,
6.540,-1.8,,,
6.550,,0.325,-0.17,-3.5
6.560,-2.2,,,
6.580,-2.7,,,
6.600,-3.4,0.311,-0.29,-0.7
6.620,-4.1,,,
6.640,-4.9,,,
6.650,,0.296,-0.23,2.5
6.660,-5.5,,,
6.680,-6.0,,,
6.700,-6.2,0.288,-0.04,4.2
6.720,-6.1,,,
6.740,-5.8,,,
6.750,,0.292,0.19,3.4
6.760,-5.3,,,
6.780,-4.7,,,
6.800,-4.0,0.307,0.30,0.3
6.820,-3.2,,,
6.840,-2.5,,,
6.850,,0.322,0.22,-2.9
6.860,-2.0,,,
6.880,-1.7,,,
6.900,-1.6,0.328,0.00,-4.3
6.920,-1.7,,,
6.940,-2.0,,,
6.950,,0.322,-0.21,-2.9
6.960,-2.6,,,
6.980,-3.2,,,
7.000,-3.9,0.307,-0.28,0.6
7.020,-4.7,,,
7.040,-5.3,,,
7.050,,0.294,-0.15,3.1
7.060,-5.8,,,
7.080,-6.1,,,
7.100,-6.2,0.292,0.03,3.5
7.120,-6.0,,,
7.140,-5.5,,,
7.150,,0.297,0.20,2.4
7.160,-4.9,,,
7.180,-4.2,,,
7.200,-3.5,0.312,0.27,-0.4
7.220,-2.8,,,
7.240,-2.2,,,
7.250,,0.324,0.16,-3.3
7.260,-1.8,,,
7.280,-1.7,,,
7.300,-1.7,0.327,-0.06,-4.1
7.320,-1.9,,,
7.340,-2.4,,,
7.350,,0.318,-0.25,-2.2
7.360,-3.0,,,
7.380,-3.6,,,
7.400,-4.4,0.303,-0.28,1.1
7.420,-5.1,,,
7.440,-5.6,,,
7.450,,0.290,-0.14,3.8
7.460,-6.0,,,
7.480,-6.1,,,
7.500,-6.0,0.289,0.10,4.0
7.520,-5.6,,,
7.540,-5.1,,,
7.550,,0.300,0.26,1.6
7.560,-4.4,,,
7.580,-3.7,,,
7.600,-3.0,0.315,0.26,-1.5
7.620,-2.5,,,
7.640,-2.0,,,
7.650,,0.326,0.11,-3.7
7.660,-1.8,,,
7.680,-1.6,,,
7.700,-1.8,0.326,-0.11,-3.8
7.720,-2.2,,,
7.740,-2.7,,,
7.750,,0.315,-0.27,-1.5
7.760,-3.4,,,
7.780,-4.1,,,
7.800,-4.8,0.300,-0.26,1.8
7.820,-5.4,,,
7.840,-5.8,,,
7.850,,0.290,-0.08,4.0
7.860,-6.1,,,
7.880,-6.0,,,
7.900,-5.8,0.292,0.14,3.6
7.920,-5.3,,,
7.940,-4.8,,,
7.950,,0.304,0.27,0.8
7.960,-4.0,,,
7.980,-3.3,,,
8.000,-2.7,0.319,0.23,-2.2
8.020,-2.1,,,
8.040,-1.8,,,
8.050,,0.327,0.05,-3.8
8.060,-1.7,,,
8.080,-1.8,,,
8.100,-2.1,0.323,-0.16,-3.1
8.120,-2.5,,,
8.140,-3.2,,,
8.150,,0.311,-0.26,-0.5
8.160,-3.9,,,
8.180,-4.6,,,
8.200,-5.2,0.297,-0.20,2.4
8.220,-5.7,,,
8.240,-6.0,,,
8.250,,0.290,-0.02,3.8
8.260,-6.0,,,
8.280,-5.9,,,
8.300,-5.5,0.295,0.18,2.9
8.320,-4.9,,,
8.340,-4.3,,,
8.350,,0.308,0.26,0.1
8.360,-3.6,,,
8.380,-2.9,,,
8.400,-2.3,0.321,0.18,-2.7
8.420,-2.0,,,
8.440,-1.7,,,
8.450,,0.326,-0.01,-3.8
8.460,-1.8,,,
8.480,-2.0,,,
8.500,-2.4,0.320,-0.20,-2.6
8.520,-3.0,,,
8.540,-3.6,,,
8.550,,0.306,-0.27,0.3
8.560,-4.3,,,
8.580,-5.0,,,
8.600,-5.5,0.293,-0.17,3.2
8.620,-5.9,,,
8.640,-6.0,,,
8.650,,0.290,0.05,3.9
8.660,-5.9,,,
8.680,-5.6,,,
8.700,-5.1,0.297,0.22,2.1
8.720,-4.5,,,
8.740,-3.8,,,
8.750,,0.312,0.26,-0.8
8.760,-3.1,,,
8.780,-2.5,,,
8.800,-2.1,0.323,0.14,-3.2
8.820,-1.8,,,
8.840,-1.8,,,
8.850,,0.326,-0.06,-3.6
8.860,-1.9,,,
8.880,-2.2,,,
8.900,-2.8,0.318,-0.22,-1.9
8.920,-3.4,,,
8.940,-4.0,,,
8.950,,0.303,-0.25,1.0
8.960,-4.7,,,
8.980,-5.3,,,
9.000,-5.7,0.292,-0.12,3.4
9.020,-6.0,,,
9.040,-5.9,,,
9.050,,0.292,0.09,3.5
9.060,-5.7,,,
9.080,-5.3,,,
9.100,-4.7,0.301,0.23,1.4
9.120,-4.1,,,
9.140,-3.4,,,
9.150,,0.315,0.23,-1.4
9.160,-2.8,,,
9.180,-2.2,,,
9.200,-1.9,0.324,0.09,-3.3
9.220,-1.8,,,
9.240,-1.9,,,
9.250,,0.324,-0.10,-3.2
9.260,-2.2,,,
9.280,-2.6,,,
9.300,-3.2,0.314,-0.23,-1.2
9.320,-3.9,,,
9.340,-4.5,,,
9.350,,0.300,-0.22,1.7
9.360,-5.1,,,
9.380,-5.6,,,
9.400,-5.9,0.292,-0.06,3.6
9.420,-5.9,,,
9.440,-5.8,,,
9.450,,0.294,0.14,3.1
9.460,-5.4,,,
9.480,-4.9,,,
9.500,-4.3,0.306,0.24,0.6
9.520,-3.6,,,
9.540,-2.9,,,
9.550,,0.319,0.20,-2.1
9.560,-2.5,,,
9.580,-2.1,,,
9.600,-1.9,0.325,0.03,-3.6
9.620,-1.9,,,
9.640,-2.1,,,
9.650,,0.322,-0.16,-2.8
9.660,-2.5,,,
9.680,-3.0,,,
9.700,-3.7,0.310,-0.25,-0.3
9.720,-4.3,,,
9.740,-4.9,,,
9.750,,0.297,-0.18,2.4
9.760,-5.4,,,
9.780,-5.7,,,
9.800,-5.9,0.291,-0.01,3.6
9.820,-5.8,,,
9.840,-5.5,,,
9.850,,0.296,0.17,2.5
9.860,-5.0,,,
9.880,-4.5,,,
9.900,-3.8,0.309,0.25,-0.1
9.920,-3.2,,,
9.940,-2.7,,,
9.950,,0.321,0.16,-2.5
9.960,-2.2,,,
9.980,-1.9,,,
10.000,-1.9,0.325,-0.01,-3.5
10.020,-2.0,,,
10.040,-2.3,,,
10.050,,0.321,-0.18,-2.5
10.060,-2.8,,,
10.080,-3.4,,,
10.100,-4.0,0.307,-0.25,0.4
10.120,-4.6,,,
10.140,-5.2,,,
10.150,,0.295,-0.15,3.0
10.160,-5.6,,,
10.180,-5.8,,,
10.200,-5.8,0.292,0.04,3.4
10.220,-5.6,,,
10.240,-5.2,,,
10.250,,0.299,0.19,1.8
10.260,-4.7,,,
10.280,-4.1,,,
10.300,-3.4,0.311,0.23,-0.7
10.320,-2.8,,,
10.340,-2.4,,,
10.350,,0.322,0.13,-2.8
10.360,-2.0,,,
10.380,-1.9,,,
10.400,-2.0,0.324,-0.06,-3.3
10.420,-2.2,,,
10.440,-2.7,,,
10.450,,0.316,-0.20,-1.6
10.460,-3.2,,,
10.480,-3.8,,,
10.500,-4.4,0.303,-0.22,1.0
10.520,-5.0,,,
10.540,-5.5,,,
10.550,,0.294,-0.10,3.1
10.560,-5.7,,,
10.580,-5.8,,,
10.600,-5.7,0.293,0.09,3.2
10.620,-5.3,,,
10.640,-4.9,,,
10.650,,0.302,0.22,1.3
10.660,-4.3,,,
10.680,-3.7,,,
10.700,-3.0,0.315,0.21,-1.5
10.720,-2.6,,,
10.740,-2.2,,,
10.750,,0.324,0.07,-3.3
10.760,-2.0,,,
10.780,-2.0,,,
10.800,-2.2,0.323,-0.12,-3.0
10.820,-2.5,,,
10.840,-3.0,,,
10.850,,0.312,-0.23,-0.8
10.860,-3.6,,,
10.880,-4.2,,,
10.900,-4.8,0.300,-0.20,1.7
10.920,-5.3,,,
10.940,-5.6,,,
10.950,,0.292,-0.05,3.2
10.960,-5.7,,,
10.980,-5.7,,,
11.000,-5.5,0.294,0.13,2.8
11.020,-5.0,,,
11.040,-4.5,,,
11.050,,0.305,0.22,0.8
11.060,-3.9,,,
11.080,-3.3,,,
11.100,-2.7,0.317,0.20,-1.8
11.120,-2.3,,,
11.140,-2.1,,,
11.150,,0.325,0.04,-3.6
11.160,-2.0,,,
11.180,-2.1,,,
11.200,-2.4,0.321,-0.16,-2.8
11.220,-2.8,,,
11.240,-3.3,,,
11.250,,0.310,-0.23,-0.2
11.260,-3.9,,,
11.280,-4.5,,,
11.300,-5.0,0.298,-0.17,2.2
11.320,-5.5,,,
11.340,-5.6,,,
11.350,,0.292,-0.01,3.2
11.360,-5.7,,,
11.380,-5.5,,,
11.400,-5.2,0.297,0.15,2.3
11.420,-4.7,,,
11.440,-4.1,,,
11.450,,0.307,0.22,0.1
11.460,-3.5,,,
11.480,-2.9,,,
11.500,-2.5,0.318,0.16,-2.3
11.520,-2.2,,,
11.540,-2.0,,,
11.550,,0.323,-0.01,-3.2
11.560,-2.1,,,
11.580,-2.3,,,
11.600,-2.7,0.317,-0.17,-2.0
11.620,-3.2,,,
11.640,-3.7,,,
11.650,,0.306,-0.21,0.4
11.660,-4.3,,,
11.680,-4.9,,,
11.700,-5.3,0.296,-0.13,2.6
11.720,-5.6,,,
11.740,-5.7,,,
11.750,,0.293,0.04,3.2
11.760,-5.6,,,
11.780,-5.3,,,
11.800,-4.9,0.300,0.19,1.7
11.820,-4.3,,,
11.840,-3.8,,,
11.850,,0.312,0.22,-0.8
11.860,-3.2,,,
11.880,-2.7,,,
11.900,-2.3,0.322,0.11,-2.8
11.920,-2.1,,,
11.940,-2.1,,,
11.950,,0.323,-0.07,-3.1
11.960,-2.2,,,
11.980,-2.6,,,
12.000,-3.0,0.315,-0.20,-1.4
12.020,-3.6,,,
12.040,-4.1,,,
12.050,,0.303,-0.21,1.1
12.060,-4.7,,,
12.080,-5.1,,,
12.100,-5.5,0.294,-0.09,2.9
12.120,-5.7,,,
12.140,-5.6,,,
12.150,,0.294,0.08,3.0
12.160,-5.5,,,
12.180,-5.0,,,
12.200,-4.6,0.302,0.20,1.2
12.220,-4.0,,,
12.240,-3.4,,,
12.250,,0.314,0.20,-0.9
12.260,-2.8,,,
12.280,-2.4,,,
12.300,-2.2,0.323,0.11,-3.1
12.320,-2.1,,,
12.340,-2.2,,,
12.350,,0.325,-0.11,-3.5
12.360,-2.4,,,
12.380,-2.7,,,
12.400,-3.3,0.312,-0.25,-0.8
12.420,-3.9,,,
12.440,-4.4,,,
12.450,,0.300,-0.19,2.0
12.460,-5.0,,,
12.480,-5.3,,,
12.500,-5.6,0.294,-0.05,3.0
12.520,-5.6,,,
12.540,-5.5,,,
12.550,,0.296,0.11,2.5
12.560,-5.1,,,
12.580,-4.7,,,
12.600,-4.1,0.305,0.21,0.6
12.620,-3.6,,,
12.640,-3.1,,,
12.650,,0.316,0.17,-1.7
12.660,-2.6,,,
12.680,-2.3,,,
12.700,-2.2,0.322,0.03,-3.1
12.720,-2.2,,,
12.740,-2.3,,,
12.750,,0.319,-0.13,-2.4
12.760,-2.7,,,
12.780,-3.2,,,
12.800,-3.7,0.309,-0.21,-0.2
12.820,-4.2,,,
12.840,-4.8,,,
12.850,,0.298,-0.15,2.1
12.860,-5.2,,,
12.880,-5.5,,,
12.900,-5.6,0.294,0.00,3.1
12.920,-5.5,,,
12.940,-5.3,,,
12.950,,0.298,0.16,2.1
12.960,-4.9,,,
12.980,-4.3,,,
13.000,-3.8,0.309,0.21,-0.2
13.020,-3.3,,,
13.040,-2.7,,,
13.050,,0.319,0.14,-2.3
13.060,-2.4,,,
13.080,-2.2,,,
13.100,-2.2,0.323,-0.02,-3.1
13.120,-2.3,,,
13.140,-2.5,,,
13.150,,0.317,-0.17,-2.0
13.160,-3.0,,,
13.180,-3.5,,,
13.200,-4.1,0.305,-0.22,0.5
13.220,-4.6,,,
13.240,-5.0,,,
13.250,,0.295,-0.13,2.6
13.260,-5.4,,,
13.280,-5.6,,,
13.300,-5.5,0.293,0.05,3.2
13.320,-5.4,,,
13.340,-5.0,,,
13.350,,0.300,0.19,1.7
13.360,-4.6,,,
13.380,-4.0,,,
13.400,-3.4,0.312,0.21,-0.8
13.420,-2.9,,,
13.440,-2.5,,,
13.450,,0.321,0.10,-2.7
13.460,-2.3,,,
13.480,-2.2,,,
13.500,-2.2,0.322,-0.06,-2.9
13.520,-2.5,,,
13.540,-2.8,,,
13.550,,0.315,-0.19,-1.4
13.560,-3.3,,,
13.580,-3.8,,,
13.600,-4.3,0.303,-0.20,1.0
13.620,-4.9,,,
13.640,-5.2,,,
13.650,,0.295,-0.09,2.8
13.660,-5.5,,,
13.680,-5.5,,,
13.700,-5.4,0.295,0.08,2.8
13.720,-5.1,,,
13.740,-4.7,,,
13.750,,0.303,0.20,1.0
13.760,-4.2,,,
13.780,-3.6,,,
13.800,-3.1,0.314,0.19,-1.4
13.820,-2.7,,,
13.840,-2.4,,,
13.850,,0.321,0.06,-2.9
13.860,-2.2,,,
13.880,-2.2,,,
13.900,-2.4,0.320,-0.10,-2.6
13.920,-2.7,,,
13.940,-3.2,,,
13.950,,0.311,-0.20,-0.7
13.960,-3.7,,,
13.980,-4.2,,,
14.000,-4.8,0.300,-0.17,1.7
14.020,-5.2,,,
14.040,-5.5,,,
14.050,,0.294,-0.03,3.0
14.060,-5.6,,,
14.080,-5.5,,,
14.100,-5.2,0.297,0.13,2.4
14.120,-4.8,,,
14.140,-4.4,,,
14.150,,0.306,0.20,0.3
14.160,-3.8,,,
14.180,-3.3,,,
14.200,-2.8,0.317,0.16,-1.9
14.220,-2.5,,,
14.240,-2.3,,,
14.250,,0.322,0.01,-3.0
14.260,-2.2,,,
14.280,-2.4,,,
14.300,-2.7,0.318,-0.14,-2.2
14.320,-3.0,,,
14.340,-3.5,,,
14.350,,0.308,-0.21,0.0
14.360,-4.1,,,
14.380,-4.6,,,
14.400,-5.0,0.297,-0.15,2.2
14.420,-5.3,,,
14.440,-5.5,,,
14.450,,0.293,0.01,3.1
14.460,-5.5,,,
14.480,-5.3,,,
14.500,-4.9,0.299,0.16,1.9
14.520,-4.6,,,
14.540,-4.0,,,
14.550,,0.309,0.20,-0.4
14.560,-3.4,,,
14.580,-3.0,,,
14.600,-2.6,0.319,0.12,-2.3
14.620,-2.3,,,
14.640,-2.2,,,
14.650,,0.322,-0.03,-2.9
14.660,-2.2,,,
14.680,-2.5,,,
14.700,-2.8,0.316,-0.16,-1.7
14.720,-3.3,,,
14.740,-3.8,,,
14.750,,0.305,-0.20,0.6
14.760,-4.3,,,
14.780,-4.8,,,
14.800,-5.2,0.296,-0.11,2.5
14.820,-5.4,,,
14.840,-5.5,,,
14.850,,0.295,0.05,2.9
14.860,-5.3,,,
14.880,-5.0,,,
14.900,-4.6,0.302,0.18,1.3
14.920,-4.2,,,
14.940,-3.6,,,
14.950,,0.312,0.19,-0.9
14.960,-3.1,,,
14.980,-2.7,,,
15.000,-2.4,0.320,0.09,-2.6
15.020,-2.3,,,
15.040,-2.3,,,
15.050,,0.321,-0.07,-2.7
15.060,-2.5,,,
15.080,-2.8,,,
15.100,-3.2,0.313,-0.19,-1.1
15.120,-3.7,,,
15.140,-4.3,,,
15.150,,0.302,-0.18,1.2
15.160,-4.7,,,
15.180,-5.1,,,
15.200,-5.4,0.295,-0.07,2.8
15.220,-5.5,,,
15.240,-5.4,,,
15.250,,0.296,0.10,2.6
15.260,-5.2,,,
15.280,-4.8,,,
15.300,-4.3,0.305,0.19,0.7
15.320,-3.8,,,
15.340,-3.3,,,
15.350,,0.315,0.17,-1.5
15.360,-2.9,,,
15.380,-2.5,,,
15.400,-2.4,0.322,0.04,-2.8
15.420,-2.3,,,
15.440,-2.4,,,
15.450,,0.319,-0.11,-2.4
15.460,-2.7,,,
15.480,-3.1,,,
15.500,-3.5,0.310,-0.20,-0.5
15.520,-4.0,,,
15.540,-4.5,,,
15.550,,0.300,-0.16,1.8
15.560,-5.0,,,
15.580,-5.3,,,
15.600,-5.4,0.294,-0.02,2.9
15.620,-5.4,,,
15.640,-5.3,,,
15.650,,0.297,0.13,2.2
15.660,-4.9,,,
15.680,-4.5,,,
15.700,-4.0,0.307,0.20,0.1
15.720,-3.5,,,
15.740,-3.0,,,
15.750,,0.317,0.14,-2.0
15.760,-2.6,,,
15.780,-2.4,,,
